company_nature,stock_id,stock_name,stock_website
国有企业,000830.SZ,鲁西化工,http://www.luxichemical.com 
国有企业,000831.SZ,五矿稀土,http://www.cmreltd.com 
未知,000833.SZ,粤桂股份,http://www.yuegui.cn 
民营企业,000835.SZ,*ST长动,http://www.000835.com 
民营相对控股企业,000836.SZ,富通鑫茂,http://www.000836.net 
未知,000837.SZ,*ST秦机,http://www.qinchuan.com 
民营企业,000838.SZ,财信发展,http://www.casindev.com 
国有企业,000839.SZ,中信国安,http://www.citicguoaninfo.com 
民营企业,000848.SZ,承德露露,http://www.lolo.com.cn 
未知,000850.SZ,华茂股份,http://www.chinahuamao.net 
国有企业,000851.SZ,高鸿股份,http://www.gohigh.com.cn 
国有企业,000852.SZ,石化机械,http://www.sofe.sinopec.com 
未知,000856.SZ,冀东装备,http://www.jdzbgc.com 
未知,000858.SZ,五粮液,http://www.wuliangye.com.cn 
未知,000859.SZ,国风塑业,http://www.guofeng.com 
未知,000860.SZ,顺鑫农业,http://www.000860.com 
民营企业,000861.SZ,海印股份,http://www.000861.com 
国有企业,000862.SZ,银星能源,http://www.nxyxny.com.cn 
民营企业,000863.SZ,三湘印象,http://www.sxgf.com 
未知,000868.SZ,ST安凯,http://www.ankai.com 
民营企业,000869.SZ,张裕A,http://www.changyu.com.cn 
国有企业,000875.SZ,吉电股份,http://www.spicjl.com 
民营企业,000876.SZ,新希望,http://www.newhopeagri.com 
国有企业,000877.SZ,天山股份,http://www.sinoma-tianshan.cn 
国有企业,000878.SZ,云南铜业,http://www.yunnan-copper.com 
未知,000880.SZ,潍柴重机,http://www.weichaihm.com 
国有企业,000881.SZ,中广核技,http://www.cgnnt.com.cn 
民营企业,000882.SZ,华联股份,http://www.bhgmall.com.cn 
国有企业,000883.SZ,湖北能源,http://www.hbny.com.cn 
未知,000885.SZ,城发环境,http://www.hncde.cn 
未知,000886.SZ,海南高速,http://www.hi-expressway.com 
民营相对控股企业,000887.SZ,中鼎股份,http://www.zhongdinggroup.com 
未知,000888.SZ,峨眉山A,http://www.ems517.com 
民营相对控股企业,000889.SZ,中嘉博创,http://www.zjbctech.com 
民营企业,000890.SZ,*ST胜尔,http://www.chinafasten.cn 
民营相对控股企业,000892.SZ,欢瑞世纪,http://www.huanruisj.com 
民营企业,000893.SZ,东凌国际,http://www.donlink.cn 
中外合资企业,000895.SZ,双汇发展,http://www.shuanghui.net 
未知,000897.SZ,津滨发展,http://WWW.JBDC.COM.CN 
国有企业,000898.SZ,鞍钢股份,http://www.ansteel.com.cn 
未知,000899.SZ,赣能股份,http://www.000899.com 
未知,000900.SZ,现代投资,http://www.xdtz.net 
国有企业,000901.SZ,航天科技,http://www.as-hitech.com 
民营企业,000902.SZ,新洋丰,http://www.yonfer.com 
未知,000903.SZ,云内动力,http://www.yunneidongli.com 
未知,000905.SZ,厦门港务,http://www.xmgw.com.cn 
未知,000906.SZ,浙商中拓,http://www.zmd.com.cn 
民营企业,000908.SZ,景峰医药,http://www.jfyiyao.com 
未知,000909.SZ,数源科技,http://www.soyea.com.cn 
民营相对控股企业,000910.SZ,大亚圣象,http://www.dareglobal.com.cn 
未知,000911.SZ,ST南糖,http://www.nnsugar.com 
未知,000912.SZ,泸天化,http://www.sclth.com 
民营企业,000913.SZ,钱江摩托,http://www.qjmotor.com 
未知,000915.SZ,山大华特,http://www.sd-wit.com 
未知,000917.SZ,电广传媒,http://www.tik.com.cn 
中外合资企业,000918.SZ,嘉凯城,http://www.calxon-group.com 
未知,000919.SZ,金陵药业,http://www.jlyy1999.com 
国有企业,000920.SZ,南方汇通,http://www.crrcgc.cc/ht 
未知,000921.SZ,海信家电,http://hxjd.hisense.cn 
国有企业,000922.SZ,佳电股份,http://www.jemlc.com 
未知,000923.SZ,河钢资源,http://www.hbiszy.com 
国有企业,000925.SZ,众合科技,http://www.unittec.com 
民营企业,000926.SZ,福星股份,http://www.chinafxkj.com 
国有企业,000927.SZ,*ST夏利,http://www.tjfaw.com.cn 
国有企业,000928.SZ,中钢国际,http://mecc.sinosteel.com 
民营相对控股企业,000929.SZ,兰州黄河,http://www.yellowriver.net.cn 
国有企业,000930.SZ,中粮科技,http://www.cofcotech.com 
民营相对控股企业,000931.SZ,中关村,http://www.centek.com.cn 
未知,000932.SZ,华菱钢铁,http://www.valin.cn 
未知,000933.SZ,神火股份,http://www.shenhuo.com 
民营企业,000935.SZ,四川双马,http://www.sc-shuangma.com 
民营企业,000936.SZ,华西股份,http://www.jshuaxicun.com 
未知,000937.SZ,冀中能源,http://www.jznygf.com 
国有企业,000938.SZ,紫光股份,http://www.thunis.com 
未知,000948.SZ,南天信息,http://www.nantian.com.cn 
未知,000949.SZ,新乡化纤,http://www.bailu.com 
未知,000950.SZ,重药控股,http://www.cqphar.com 
未知,000951.SZ,中国重汽,http://www.sinotruk.com 
未知,000952.SZ,广济药业,http://www.guangjipharm.com 
民营企业,000953.SZ,*ST河化,http://www.hechihuagong.com.cn 
民营企业,000955.SZ,欣龙控股,http://www.xinlong-holding.com 
未知,000957.SZ,中通客车,http://www.zhongtong.com 
国有企业,000958.SZ,东方能源,http://www.spichebei.com 
未知,000959.SZ,首钢股份,http://www.sggf.com.cn 
未知,000960.SZ,锡业股份,http://www.ytl.com.cn 
民营企业,000961.SZ,中南建设,http://www.zhongnangroup.cn 
国有企业,000962.SZ,东方钽业,http://www.otic.com.cn 
民营企业,000963.SZ,华东医药,http://www.eastchinapharm.com 
未知,000965.SZ,天保基建,http://www.tbjijian.com 
国有企业,000966.SZ,长源电力,http://www.cydl.com.cn 
民营相对控股企业,000967.SZ,盈峰环境,http://www.inforeenviro.com 
未知,000968.SZ,蓝焰控股,http://www.tymqh.com 
国有企业,000969.SZ,安泰科技,http://www.atmcn.com 
国有企业,000970.SZ,中科三环,http://www.san-huan.com.cn 
民营相对控股企业,000971.SZ,*ST高升,http://www.gosun.com 
未知,000972.SZ,ST中基,http://www.chalkistomato.com 
未知,000973.SZ,佛塑科技,http://www.fspg.com.cn 
民营企业,000975.SZ,银泰黄金,http://www.ytg000975.com 
民营相对控股企业,000976.SZ,华铁股份,http://www.huatie-railway.com 
未知,000977.SZ,浪潮信息,http://www.inspur.com 
未知,000978.SZ,桂林旅游,http://www.guilintravel.com 
民营相对控股企业,000980.SZ,*ST众泰,http://www.zotye.com 
中外合资企业,000981.SZ,*ST银亿,http://www.chinayinyi.cn 
民营相对控股企业,000982.SZ,*ST中绒,http://www.zhongyincashmere.com 
未知,000983.SZ,西山煤电,http://www.xsmd.com.cn 
国有企业,000985.SZ,大庆华科,http://www.huake.com 
未知,000987.SZ,越秀金控,http://www.yuexiu-finance.com 
国有企业,000988.SZ,华工科技,http://www.hgtech.com.cn 
民营企业,000989.SZ,九芝堂,http://www.hnjzt.com 
国有企业,000990.SZ,诚志股份,http://www.chengzhi.com.cn 
未知,000993.SZ,闽东电力,http://www.mdep.com.cn 
民营企业,000996.SZ,中国中期,http://www.cifco996.com 
民营企业,000997.SZ,新大陆,http://dt.newland.com.cn 
